Date,Tweet,Close.
2013-02-20,FACT: 92% of Americans and 74% of NRA members support universal background checks for gun sales.pic.twitter.com/kp8uJLFT,"1,511.95"
2013-02-20,FACT: In 14 years the background check system has helped keep more than 1.5 million guns out of dangerous hands.,"1,511.95"
2013-02-20,FACT: Only 12% of inmates who used a handgun in a crime acquired it from a storeâ€”which require background checks.,"1,511.95"
2013-02-20,FACT: Nearly 40% of all gun sales are made by private sellers who aren't required to conduct a background check.,"1,511.95"
2013-02-20,Worth a read and a RT: President Obama's plan to reduce gun violence.pic.twitter.com/GTydmZjn,"1,511.95"
2013-02-19,RT if you agree: Congress should avoid brutal spending cuts and focus on making America a magnet for good jobs.pic.twitter.com/Hr7hDYnb,"1,530.94"
2013-02-19,Use #TheyDeserveAVote to share why you think it's time for Congress to protect our kids and communities by reducing gun violence.,"1,530.94"
2013-02-19,Galen was killed at Simon's Rock College. It tore the lives of his family friends & community apart. His memory deserves a vote. â€”Johanna,"1,530.94"
2013-02-19,I know that my students and I will carry these scars for the rest of our lives. â€”Rachel S. http://OFA.BO/x7zHsWÂ  #TheyDeserveAVote,"1,530.94"
2013-02-19,A high school student doing his jobâ€”he was murdered senselessly by a man with a criminal record and a gun. â€”Michelle M. #TheyDeserveAVote,"1,530.94"
2013-02-19,Congress needs to come back into session and address this before we lose more of our brightest and best. â€”Jack E. http://OFA.BO/TQCh9FÂ ,"1,530.94"
2013-02-19,My family deserves a vote. We all deserve a vote. â€”Sami on losing his father to gun violence: http://OFA.BO/2KRbTvÂ  #TheyDeserveAVote,"1,530.94"
2013-02-19,Share why you support the President's plan to keep our kids & communities safer from gun violence: http://OFA.BO/P9og9pÂ  #TheyDeserveAVote,"1,530.94"
2013-02-19,"Obama: ""The American people have worked too hard for too long rebuilding from one crisis to see their elected officials cause another.""","1,530.94"
2013-02-19,"President Obama: ""I will not sign a plan that harms the middle class."" #JobsNow","1,530.94"
2013-02-19,"President Obama: ""For two years now I've offered a balanced approach to deficit reduction that would prevent these harmful cuts."" #JobsNow","1,530.94"
2013-02-19,Thousands of teachers and educators will be laid off. Tens of thousands of parents will have to scramble to find child care. â€”Obama,"1,530.94"
